100,99.2414,98.4828,97.7239,96.9648,96.2052,95.4452,94.6845,93.9231,93.1608,92.3975,91.6329,90.8669,90.0993,89.3298,88.5581,87.7839,87.0069,86.2266,85.4425,84.6542,83.861,83.0621,82.2568,81.444,80.6228,79.7917,78.9493,78.094,77.2235,76.3355,75.4271,74.495,73.535,72.5421,71.5103,70.432,69.298,68.0961,66.811,65.4221,63.9013,62.2093,60.2874,58.0442,55.3227,51.8199,46.8436,38.4539,20
100,99.2415,98.4829,97.724,96.9649,96.2055,95.4455,94.6849,93.9236,93.1613,92.3981,91.6336,90.8677,90.1002,89.3308,88.5593,87.7853,87.0085,86.2284,85.4447,84.6567,83.8638,83.0653,82.2605,81.4483,80.6277,79.7973,78.9559,78.1015,77.2322,76.3457,75.439,74.5089,73.5514,72.5615,71.5335,70.4599,69.3319,68.1378,66.8629,65.488,63.987,62.3241,60.4481,58.2833,55.7133,52.5568,48.5503,43.486,38.4378
100,99.2416,98.4831,97.7245,96.9655,96.2062,95.4464,94.686,93.9249,93.1629,92.3999,91.6357,90.8702,90.103,89.3341,88.563,87.7896,87.0134,86.234,85.4511,84.664,83.8722,83.0749,82.2715,81.461,80.6423,79.8142,78.9753,78.124,77.2583,76.376,75.4744,74.5503,73.6001,72.6192,71.6022,70.5424,69.4318,68.2602,67.0149,65.6799,64.2346,62.6521,60.8977,58.9276,56.6905,54.1435,51.3147,48.502,46.7792
100,99.2418,98.4836,97.7252,96.9665,96.2074,95.4479,94.6878,93.9271,93.1655,92.4029,91.6392,90.8742,90.1077,89.3394,88.5691,87.7966,87.0214,86.2432,85.4616,84.676,83.886,83.0908,82.2897,81.4818,80.6662,79.8418,79.0071,78.1608,77.3009,76.4255,75.5321,74.6179,73.6795,72.713,71.7136,70.6757,69.5926,68.4562,67.2566,65.9823,64.6193,63.1518,61.5631,59.8389,57.9774,56.0122,54.063,52.428,51.6751
100,99.2422,98.4842,97.7262,96.9678,96.2091,95.45,94.6904,93.9301,93.169,92.407,91.644,90.8797,90.114,89.3467,88.5776,87.8062,87.0324,86.2558,85.476,84.6926,83.9049,83.1125,82.3146,81.5104,80.6991,79.8796,79.0507,78.2111,77.3591,76.4931,75.6107,74.7097,73.7871,72.8396,71.8635,70.8543,69.8068,68.7153,67.5731,66.3733,65.1085,63.7729,62.3639,60.8876,59.3681,57.8648,56.4973,55.4719,55.0651
100,99.2426,98.485,97.7274,96.9695,96.2113,95.4527,94.6936,93.9339,93.1735,92.4122,91.65,90.8867,90.1221,89.3559,88.5881,87.8183,87.0463,86.2717,85.4942,84.7133,83.9287,83.1397,82.3457,81.5461,80.7401,79.9267,79.105,78.2737,77.4315,76.5769,75.708,74.823,73.9195,72.995,72.0466,71.0711,70.0651,69.025,67.9474,66.8291,65.6687,64.4673,63.232,61.9793,60.7427,59.5814,58.5896,57.897,57.6418
100,99.243,98.486,97.7288,96.9715,96.2138,95.4558,94.6973,93.9384,93.1787,92.4184,91.6572,90.8949,90.1316,89.3668,88.6006,87.8326,87.0627,86.2904,85.5156,84.7379,83.9567,83.1718,82.3825,81.5883,80.7885,79.9823,79.1689,78.3472,77.5163,76.6749,75.8215,74.9548,74.0729,73.1742,72.2566,71.3184,70.3575,69.3724,68.3622,67.3271,66.2697,65.1958,64.1174,63.055,62.042,61.1286,60.3827,59.8848,59.708
100,99.2436,98.4871,97.7305,96.9737,96.2167,95.4594,94.7017,93.9435,93.1848,92.4254,91.6653,90.9044,90.1424,89.3793,88.6149,87.849,87.0813,86.3118,85.54,84.7658,83.9886,83.2083,82.4243,81.6361,80.8432,80.0451,79.2409,78.4301,77.6116,76.7848,75.9484,75.1016,74.2432,73.3722,72.4875,71.5883,70.674,69.7449,68.8019,67.8476,66.8871,65.9289,64.9867,64.0812,63.2419,62.5081,61.9278,61.5515,61.4205
100,99.2442,98.4883,97.7323,96.9762,96.2199,95.4633,94.7064,93.9492,93.1914,92.4332,91.6743,90.9148,90.1544,89.393,88.6306,87.867,87.102,86.3353,85.5669,84.7965,84.0238,83.2484,82.4701,81.6886,80.9033,80.1138,79.3197,78.5204,77.7154,76.9041,76.0858,75.26,74.4262,73.5839,72.7328,71.8732,71.0055,70.1312,69.2528,68.3743,67.5021,66.646,65.8194,65.0413,64.3362,63.7342,63.2688,62.9728,62.871
100,99.2448,98.4896,97.7343,96.9789,96.2233,95.4676,94.7116,93.9553,93.1986,92.4416,91.6841,90.926,90.1673,89.4078,88.6476,87.8864,87.1242,86.3607,85.5959,84.8296,84.0615,83.2915,82.5193,81.7447,80.9675,80.1872,79.4037,78.6166,77.8256,77.0304,76.2307,75.4265,74.6176,73.8043,72.9868,72.1661,71.3437,70.5217,69.7037,68.8945,68.1012,67.3334,66.6037,65.9284,65.3275,64.8235,64.4405,64.2001,64.118
